artigoEmPeriodico	Roberto Marcondes Cesar Junior	2004	http://dx.doi.org/10.1016/j.rti.2004.05.006	Morphometrical Data Analysis using Wavelets	Real-Time Imaging	TAKEMURA, Celina Maki ; CESAR JUNIOR, R. M. ; ARANTES, R. A. T. ; COSTA, L. da F. ; HINGST-ZAHER, E. ; BONATO, V. ; REIS, S. F. dos	Qualis nao identificado	Real-Time Imaging
artigoEmPeriodico	Roberto Marcondes Cesar Junior	2004		Automated Morphometric Analysis of the Cat Retinal $\alpha$/Y, $\beta$/X and $\delta$ Ganglion Cells using Wavelet Statistical Moment and Clustering Algorithms	Journal of Integrative Neuroscience	LEANDRO, J. J. G. ; JELINEK, H. ; CESAR JUNIOR, R. M. ; SPENCE, I	Qualis nao identificado	Journal of Integrative Neuroscience
artigoEmPeriodico	Roberto Marcondes Cesar Junior	2004	http://dx.doi.org/10.1016/j.rti.2004.06.002	A wavelet subspace method for real-time face tracking	Real-Time Imaging	FERIS, R ; KRUEGER, V ; CESARJR, R	Qualis nao identificado	Real-Time Imaging
artigoEmPeriodico	Roberto Marcondes Cesar Junior	2004	http://dx.doi.org/10.1016/j.fss.2003.07.003	Approximate reflectional symmetries of fuzzy objects with an application in model-based object recognition	Fuzzy Sets and Systems	COLLIOT, O ; TUZIKOV, A ; CESAR JUNIOR, R. M. ; BLOCH, Isabelle	A1	
artigoEmPeriodico	Roberto Marcondes Cesar Junior	2003	http://dx.doi.org/10.1016/S1051-2004(02)00012-X	1d And 2d Fourier-Based Approaches To Numeric Curvature Estimation And Their Comparative Performance Assessment	Digital Signal Processing	L. F. Estrozi ; L. G. Rios ; A. G. Campos ; CESAR JUNIOR, R. M. ; COSTA, L. da F.	B1	Digital Signal Processing (Online)
artigoEmPeriodico	Roberto Marcondes Cesar Junior	2003	http://dx.doi.org/10.1016/S0304-4165(02)00446-4	A comparative analysis of structure and spatial distribution of decorin in human leiomyoma and normal myometrium	Biochimica et Biophysica Acta. G, General Subjects	BERTO, A. G. A. ; SAMPAIO, L. O. ; FRANCO, C. R. C. ; CESAR JUNIOR, R. M. ; MICHELACCI, Y.m.	B2	Biochimica et Biophysica Acta. G, General Subjects (Print)
artigoEmPeriodico	Roberto Marcondes Cesar Junior	2003		Exploring the structure-function relationship of cat retinal ganglion cells using wavelets	Brain and Mind (Dordrecht)	JELINEK, H. ; CESAR JUNIOR, R. M. ; LEANDRO, J. J. G.	Qualis nao identificado	Brain and Mind (Dordrecht)
artigoEmPeriodico	Roberto Marcondes Cesar Junior	2002	http://dx.doi.org/10.1089/10665270252833217	Inference from Clustering with Application to Gene-Expression Microarrays	Journal of Computational Biology	Dougherty, Edward R. ; Barrera, Junior ; Brun, Marcel ; Kim, Seungchan ; Cesar, Roberto M. ; Chen, Yidong ; Bittner, Michael ; Trent, Jeffrey M.	A1	
artigoEmPeriodico	Roberto Marcondes Cesar Junior	2002		Robótica, sistemas sensorial e motor: principais tendências e direções	Revista de Informática Teórica e Aplicada	CESAR JUNIOR, R. M.; GONÇALVES, L. M. G.	B4	Revista de Informática Teórica e Aplicada (Impresso)
artigoEmPeriodico	Roberto Marcondes Cesar Junior	2001	http://dx.doi.org/10.1023/A:1011139203654	Synergos - Synergetic Vision Research	Real-Time Systems	CESAR JUNIOR, R. M.; COSTA, L. da F. ; CONSULARO, L.a. ; O. M. Bruno	Qualis nao identificado	Real-Time Systems
artigoEmPeriodico	Roberto Marcondes Cesar Junior	2000		Reviewing Vision in the WWW	InterJournal (Online)	CESAR JUNIOR, R. M.; COSTA, L. da F.	Qualis nao identificado	InterJournal (Online)
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2016		Averaging Gone Wrong: Using Time-Aware Analyses to Better Understand Behavior	25th International Conference on World Wide Web	BARBOSA, S. ; COSLEY, D. ; SHARMA, A. ; Cesar Jr., R.M.	Qualis nao identificado	25th International Conference on World Wide Web
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2016		Data-oriented neuron classification from their parts	IEEE eScience Conference	CERVANTES, E. P. ; COMIN, CESAR HENRIQUE ; Costa, Luciano Da F. ; Cesar Jr., R.M.	Qualis nao identificado	IEEE eScience Conference
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2016		Efficient Object Recognition Using Sampling of Keypoint Triples and Keygraph Structure	XXIV Sibgrapi 2016	DAZZI, E. ; T. E. Campos ; HILTON, A. ; Cesar Jr., R.M.	Qualis nao identificado	XXIV Sibgrapi 2016
